sequence,group,locale,title,url,source,target
1,Guide,zh,FastGPT 私有化部署就绪度：上线前确认六项条件,https://fastgpt.cn/guide/private-deployment-readiness,/Users/longnv/bin/repo/fastgpt-data/Week07/深度内容-第5批/01-私有化就绪度-V1.0-星触达-20260831.md,src/content/guides/zh/private-deployment-readiness.zh.md
2,Guide,en,FastGPT Private Deployment Readiness: Six Checks Before Launch,https://fastgpt.io/guide/private-deployment-readiness,/Users/longnv/bin/repo/fastgpt-data/Week07/深度内容-第5批/01-私有化就绪度-V1.0-星触达-20260831.md,src/content/guides/en/private-deployment-readiness.en.md
3,Guide,zh,FastGPT 模型网关架构：路由、凭据与故障处理,https://fastgpt.cn/guide/model-gateway-architecture,/Users/longnv/bin/repo/fastgpt-data/Week07/深度内容-第5批/02-模型网关-V1.0-星触达-20260831.md,src/content/guides/zh/model-gateway-architecture.zh.md
4,Guide,en,FastGPT Model Gateway Architecture: Routing and Operations,https://fastgpt.io/guide/model-gateway-architecture,/Users/longnv/bin/repo/fastgpt-data/Week07/深度内容-第5批/02-模型网关-V1.0-星触达-20260831.md,src/content/guides/en/model-gateway-architecture.en.md
5,Guide,zh,FastGPT 本地模型 TCO：接入、容量与单位任务成本,https://fastgpt.cn/guide/local-model-tco,/Users/longnv/bin/repo/fastgpt-data/Week07/深度内容-第5批/07-本地模型-V1.0-星触达-20260831.md,src/content/guides/zh/local-model-tco.zh.md
6,Guide,en,"FastGPT Local Model TCO: Integration, Capacity, and Task Cost",https://fastgpt.io/guide/local-model-tco,/Users/longnv/bin/repo/fastgpt-data/Week07/深度内容-第5批/07-本地模型-V1.0-星触达-20260831.md,src/content/guides/en/local-model-tco.en.md
7,Guide,zh,FastGPT 文档解析验收：从原文件到可引用答案,https://fastgpt.cn/guide/document-parsing-acceptance,/Users/longnv/bin/repo/fastgpt-data/Week07/深度内容-第5批/05-文档解析验收-V1.0-星触达-20260831.md,src/content/guides/zh/document-parsing-acceptance.zh.md
8,Guide,en,FastGPT Document Parsing Acceptance: Files to Cited Answers,https://fastgpt.io/guide/document-parsing-acceptance,/Users/longnv/bin/repo/fastgpt-data/Week07/深度内容-第5批/05-文档解析验收-V1.0-星触达-20260831.md,src/content/guides/en/document-parsing-acceptance.en.md
9,Guide,zh,FastGPT 知识库生命周期：责任归属与持续维护,https://fastgpt.cn/guide/kb-lifecycle-ownership,/Users/longnv/bin/repo/fastgpt-data/Week07/深度内容-第5批/04-知识库归属-V1.0-星触达-20260831.md,src/content/guides/zh/kb-lifecycle-ownership.zh.md
10,Guide,en,FastGPT Knowledge Base Lifecycle and Ownership,https://fastgpt.io/guide/kb-lifecycle-ownership,/Users/longnv/bin/repo/fastgpt-data/Week07/深度内容-第5批/04-知识库归属-V1.0-星触达-20260831.md,src/content/guides/en/kb-lifecycle-ownership.en.md
11,Guide,zh,FastGPT 更换向量模型：重建、对照与回滚,https://fastgpt.cn/guide/embedding-model-migration,/Users/longnv/bin/repo/fastgpt-data/Week07/深度内容-第5批/03-向量模型更换-V1.0-星触达-20260831.md,src/content/guides/zh/embedding-model-migration.zh.md
12,Guide,en,Changing FastGPT Embedding Models: Rebuild and Validate,https://fastgpt.io/guide/embedding-model-migration,/Users/longnv/bin/repo/fastgpt-data/Week07/深度内容-第5批/03-向量模型更换-V1.0-星触达-20260831.md,src/content/guides/en/embedding-model-migration.en.md
13,Guide,zh,FastGPT 重排模型选型：相关性、延迟与成本,https://fastgpt.cn/guide/rerank-model-selection,/Users/longnv/bin/repo/fastgpt-data/Week07/深度内容-第5批/06-重排模型选型-V1.0-星触达-20260831.md,src/content/guides/zh/rerank-model-selection.zh.md
14,Guide,en,"Choosing FastGPT Rerank Models: Relevance, Latency, and Cost",https://fastgpt.io/guide/rerank-model-selection,/Users/longnv/bin/repo/fastgpt-data/Week07/深度内容-第5批/06-重排模型选型-V1.0-星触达-20260831.md,src/content/guides/en/rerank-model-selection.en.md
15,基础教程与接入,zh,FastGPT Milvus modeldata向量数据迁移至modeldata_v2操作指南,https://fastgpt.cn/deploy/fastgpt-milvus-modeldata-migration,/Users/longnv/bin/repo/fastgpt-data/Week07/程序化技术页-第5批/中文-fastgpt.cn/deploy/fastgpt-milvus-modeldata-migration.md,src/content/tech-center/deploy/fastgpt-milvus-modeldata-migration.md
